title,artist,genre,year,bpm,dur
Hey Soul Sister,Train,neo mellow,2010,97,217
Love The Way You Lie,Eminem,detroit hip hop,2010,87,263
TiK ToK,Kesha,dance pop,2010,120,200
Bad Romance,Lady Gaga,dance pop,2010,119,295
Just the Way You Are,Bruno Mars,pop,2010,109,221
Baby,Justin Bieber,canadian pop,2010,65,214
Dynamite,Taio Cruz,dance pop,2010,120,203
Secrets,OneRepublic,dance pop,2010,148,225
Empire State of Mind (Part II Broken Down,Alicia Keys,hip pop,2010,93,216
Only Girl (In The World,Rihanna,barbadian pop,2010,126,235
Club Can't Handle Me (feat. David Guetta,Flo Rida,dance pop,2010,128,235
Marry You,Bruno Mars,pop,2010,145,230
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,213
Telephone,Lady Gaga,dance pop,2010,122,221
Like A G6,Far East Movement,dance pop,2010,125,217
OMG (feat. will.i.am,Usher,atl hip hop,2010,130,269
Eenie Meenie,Sean Kingston,dance pop,2010,121,202
The Time (Dirty Bit,The Black Eyed Peas,dance pop,2010,128,308
Alejandro,Lady Gaga,dance pop,2010,99,274
Your Love Is My Drug,Kesha,dance pop,2010,120,187
Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,284
Whataya Want from Me,Adam Lambert,australian pop,2010,186,227
Take It Off,Kesha,dance pop,2010,125,215
Misery,Maroon 5,pop,2010,103,216
All The Right Moves,OneRepublic,dance pop,2010,146,238
Animal,Neon Trees,indie pop,2010,148,212
Naturally,Selena Gomez & The Scene,dance pop,2010,133,203
I Like It,Enrique Iglesias,dance pop,2010,129,231
Teenage Dream,Katy Perry,dance pop,2010,120,228
California Gurls,Katy Perry,dance pop,2010,125,235
3,Britney Spears,dance pop,2010,135,213
My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138,192
Blah Blah Blah (feat. 3OH!3,Kesha,dance pop,2010,120,172
Imma Be,The Black Eyed Peas,dance pop,2010,92,258
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111,249
Sexy Bitch (feat. Akon,David Guetta,dance pop,2010,130,196
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164,264
If I Had You,Adam Lambert,australian pop,2010,131,228
Rock That Body,The Black Eyed Peas,dance pop,2010,125,269
Dog Days Are Over,Florence + The Machine,art pop,2010,150,253
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150,185
Doesn't Mean Anything,Alicia Keys,hip pop,2010,104,273
Hard,Rihanna,barbadian pop,2010,182,251
Loca,Shakira,colombian pop,2010,112,193
You Lost Me,Christina Aguilera,dance pop,2010,43,257
Not Myself Tonight,Christina Aguilera,dance pop,2010,120,186
Written in the Stars (feat. Eric Turner,Tinie Tempah,dance pop,2010,91,220
DJ Got Us Fallin' In Love (feat. Pitbull,Usher,atl hip hop,2010,120,221
Castle Walls (feat. Christina Aguilera,T.I.,atl hip hop,2010,80,329
Break Your Heart,Taio Cruz,dance pop,2010,122,186
Hello,Martin Solveig,big room,2010,128,191
A Thousand Years,Christina Perri,dance pop,2011,139,285
Someone Like You,Adele,british soul,2011,135,285
Give Me Everything,Pitbull,dance pop,2011,129,252
Just the Way You Are,Bruno Mars,pop,2011,109,221
Rolling in the Deep,Adele,british soul,2011,105,228
Run the World (Girls,Beyonce,dance pop,2011,127,236
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128,201
Love On Top,Beyonce,dance pop,2011,94,267
Grenade,Bruno Mars,pop,2011,110,223
Tonight Tonight,Hot Chelle Rae,dance pop,2011,100,200
What the Hell,Avril Lavigne,canadian pop,2011,150,221
Born This Way,Lady Gaga,dance pop,2011,124,260
Monster,Kanye West,chicago rap,2011,125,379
Marry You,Bruno Mars,pop,2011,145,230
Best Thing I Never Had,Beyonce,dance pop,2011,99,254
Party Rock Anthem,LMFAO,dance pop,2011,130,262
We R Who We R,Kesha,dance pop,2011,120,205
Price Tag,Jessie J,australian pop,2011,175,223
Good Life,OneRepublic,dance pop,2011,95,253
Just Cant Get Enough,The Black Eyed Peas,dance pop,2011,94,219
On The Floor,Jennifer Lopez,dance pop,2011,130,285
What's My Name?,Rihanna,barbadian pop,2011,100,263
Yeah 3x,Chris Brown,dance pop,2011,130,242
Without You (feat. Usher,David Guetta,dance pop,2011,128,208
Sexy And I Know It,LMFAO,dance pop,2011,130,199
The Edge Of Glory,Lady Gaga,dance pop,2011,128,321
E.T.,Katy Perry,dance pop,2011,152,230
Till the World Ends,Britney Spears,dance pop,2011,132,238
I Wanna Go,Britney Spears,dance pop,2011,130,210
Blow,Kesha,dance pop,2011,120,220
You And I,Lady Gaga,dance pop,2011,127,307
Judas,Lady Gaga,dance pop,2011,131,249
Tonight (I'm Fuckin' You,Enrique Iglesias,dance pop,2011,126,232
Please Don't Go,Mike Posner,dance pop,2011,120,197
We Found Love,Rihanna,barbadian pop,2011,128,215
Marry The Night,Lady Gaga,dance pop,2011,131,265
1+1,Beyonce,dance pop,2011,63,274
Hold It Against Me,Britney Spears,dance pop,2011,133,229
I'm Into You,Jennifer Lopez,dance pop,2011,84,200
Papi,Jennifer Lopez,dance pop,2011,120,223
Cheers (Drink To That,Rihanna,barbadian pop,2011,80,262
S&M Remix,Rihanna,barbadian pop,2011,128,257
Written in the Stars (feat. Eric Turner,Tinie Tempah,dance pop,2011,91,220
Jar of Hearts,Christina Perri,dance pop,2011,75,247
Castle Walls (feat. Christina Aguilera,T.I.,atl hip hop,2011,80,329
Turning Page,Sleeping At Last,acoustic pop,2011,125,255
Super Bass,Nicki Minaj,dance pop,2011,127,201
